url,locale,route_type,package_id,cluster,slug,title,h1,word_count,internal_inbound_links,internal_outbound_links,has_calculator,source_count,last_reviewed,og_image_unique,first_commit_date,first_pr
https://worthcalc.win/,en,home,,everyday,home,Transparent Calculators for Real Money Decisions,Transparent calculators for real money decisions,1141,0,24,true,4,,false,2026-07-03,無資料
https://worthcalc.win/ar/guides/3d-printer-electricity-cost-per-print-used/,ar,guide,079,everyday,3d-printer-electricity-cost-per-print-used,تكلفة طابعة ثلاثية الأبعاد لكل طباعة: وزّع التسخين ووقت التشغيل,تكلفة طابعة ثلاثية الأبعاد لكل طباعة: وزّع التسخين ووقت التشغيل,539,4,4,false,5,2026-09-03,true,2026-09-03,無資料
https://worthcalc.win/ar/guides/3d-scanner-electricity-cost-per-scanning-session-used/,ar,guide,086,everyday,3d-scanner-electricity-cost-per-scanning-session-used,تكلفة كهرباء الماسح ثلاثي الأبعاد لكل جلسة: افصل حمل الحاسوب,تكلفة كهرباء الماسح ثلاثي الأبعاد لكل جلسة: افصل حمل الحاسوب,423,4,4,false,5,2026-09-03,true,2026-09-03,無資料
https://worthcalc.win/ar/guides/air-fryer-cost-per-cooking-cycle-used/,ar,guide,053,everyday,air-fryer-cost-per-cooking-cycle-used,تكلفة القلاية الهوائية لكل دورة طهي,تكلفة القلاية الهوائية لكل دورة طهي,397,4,4,false,4,2026-09-02,true,2026-09-02,無資料
https://worthcalc.win/ar/guides/air-purifier-cost-per-clean-air-hour-used/,ar,guide,031,everyday,air-purifier-cost-per-clean-air-hour-used,تكلفة منقّي الهواء لكل ساعة هواء نظيف: قارن القدرة وCADR والمرشحات,تكلفة منقّي الهواء لكل ساعة هواء نظيف: قارن القدرة وCADR والمرشحات,191,2,4,false,2,2026-09-02,true,2026-09-02,無資料
https://worthcalc.win/ar/guides/annual-cost-savings-calculator/,ar,guide,010,income-savings,annual-cost-savings-calculator,حاسبة التوفير السنوي: احسب التوفير الحقيقي بعد الرسوم والاستخدام,حاسبة التوفير السنوي: احسب التوفير الحقيقي بعد الرسوم والاستخدام,509,37,13,false,2,2026-09-02,true,2026-09-02,PR #123
https://worthcalc.win/ar/guides/aquarium-air-pump-electricity-cost-per-filtration-day-used/,ar,guide,105,everyday,aquarium-air-pump-electricity-cost-per-filtration-day-used,تكلفة مضخة هواء الحوض لكل يوم ترشيح: أدرج الضغط العكسي,تكلفة مضخة هواء الحوض لكل يوم ترشيح: أدرج الضغط العكسي,395,4,4,false,7,2026-09-03,true,2026-09-03,PR #152
https://worthcalc.win/ar/guides/aquarium-heater-electricity-cost-per-tank-day-used/,ar,guide,113,everyday,aquarium-heater-electricity-cost-per-tank-day-used,تكلفة سخان الحوض لكل يوم: افصل دورات منظم الحرارة,تكلفة سخان الحوض لكل يوم: افصل دورات منظم الحرارة,527,5,5,false,4,2026-09-03,true,2026-09-03,PR #154
https://worthcalc.win/ar/guides/attic-fan-electricity-cost-per-ventilation-hour-used/,ar,guide,123,everyday,attic-fan-electricity-cost-per-ventilation-hour-used,تكلفة مروحة العلية لكل ساعة تهوية: قِس دورة التشغيل,تكلفة مروحة العلية لكل ساعة تهوية: قِس دورة التشغيل,323,1,4,false,3,2026-09-03,true,2026-09-03,PR #155
https://worthcalc.win/ar/guides/bathroom-ventilation-fan-electricity-cost-per-shower-used/,ar,guide,102,everyday,bathroom-ventilation-fan-electricity-cost-per-shower-used,تكلفة مروحة تهوية الحمام لكل دش: أدرج مؤقت التشغيل اللاحق,تكلفة مروحة تهوية الحمام لكل دش: أدرج مؤقت التشغيل اللاحق,370,6,4,false,7,2026-09-03,true,2026-09-03,PR #152
